16.83 	26.8 	18.3 	
-0.54 	0 	0 	
-49.41 	1.1 	16.1 	
16.83 	6.3 	5.9 	
-0.54 	-1.2 	-6.1 	
-13.57 	-0.2 	1.3 	
-0.54 	1 	7.1 	
47.24 	-3.5 	-12.4 	
36.38 	-7.3 	-12.3 	
-53.76 	-2.6 	11.5 	
46.15 	-3.5 	-9.7 	
-42.9 	-0.3 	1 	
57.01 	-2 	-5.1 	
-48.33 	-0.1 	0.6 	
-3.8 	12.6 	-7 	
-8.14 	13 	-11.7 	
28.78 	-10.1 	-7.4 	
-1.63 	-3.2 	-12.3 	
-40.72 	9.6 	11.3 	
19 	-5.9 	-21.4 	
-53.76 	2.4 	14.6 	
20.09 	-13 	-10 	
16.83 	7.8 	-6.1 	
-14.66 	0.5 	3 	
12.49 	-7 	7.4 	
5.97 	-5 	8.3 	
-32.04 	3.5 	18.5 	
-41.81 	5.4 	7.6 	
-3.8 	21.9 	22 	
-0.54 	-1.2 	-8.5 	
-29.86 	-7.3 	-0.3 	
-10.32 	-2 	14.6 	
20.09 	-8.7 	9.8 	
30.95 	6.6 	-6.7 	
-0.54 	-0.3 	-2.4 	
-47.24 	3.2 	3 	
-5.97 	-13.1 	9 	
55.93 	-3 	-2.3 	
-22.26 	-0.9 	-13.9 	
-48.33 	3.7 	6.7 	
37.47 	1.9 	-4.5 	
-54.84 	3.8 	3.7 	
2.71 	-1.2 	8.5 	
-47.24 	-6.7 	12.9 	
-15.75 	-12.5 	-12.5 	
4.89 	11.4 	-5.3 	
-22.26 	14.1 	5.1 	
24.43 	5.4 	-3.5 	
-33.12 	-8.8 	7.7 	
-29.86 	-8.4 	11.3 	
-5.97 	6.9 	11.1 	
-51.58 	4.6 	2.8 	
-0.54 	-0.2 	3.4 	
0.54 	3.2 	7.1 	
-45.07 	3.5 	3.6 	
-39.64 	7.8 	14.8 	
-10.32 	-9.9 	-8.6 	
-21.18 	-10.3 	4.6 	
-52.67 	-0.6 	10.8 	
-41.81 	2.6 	8.4 	
30.95 	-0.7 	-9.7 	
0.54 	-3.4 	-0.2 	
-16.83 	2.1 	-10.9 	
-41.81 	-0.2 	4.7 	
3.8 	4.2 	0.7 	
17.92 	-11.7 	-3.4 	
37.47 	-9.2 	-7.8 	
-57.01 	-0.1 	14 	
-42.9 	-0.1 	-2.9 	
24.43 	5.9 	-7.3 	
-23.35 	-11 	1.6 	
-45.07 	-2.5 	0.5 	
40.72 	-4.4 	-11.2 	
-10.32 	4.3 	10.7 	
28.78 	2.4 	-16.2 	
-0.54 	-0.7 	0 	
43.98 	-6.4 	-12.6 	
-2.71 	-6.1 	-14.8 	
25.52 	-5.1 	-2.7 	
-49.41 	-10.8 	9.5 	
-4.89 	-7.6 	-12.6 	
9.23 	6.2 	3.2 	
12.49 	-6.6 	11.8 	
-9.23 	-7.4 	-8.5 	
-27.69 	-8.2 	4.8 	
-26.61 	-11.2 	-5.5 	
7.06 	-10.2 	11.6 	
7.06 	4.1 	2 	
21.18 	12.7 	-3 	
-50.5 	-0.1 	7.7 	
16.83 	-3.8 	7.1 	
-48.33 	-0.1 	-1 	
46.15 	0.4 	8.7 	
-14.66 	-9.3 	16.4 	
8.14 	13.1 	0 	
-41.81 	-4.6 	5.4 	
8.14 	8.6 	-22.5 	
34.21 	3 	-3.2 	
-49.41 	-1.5 	1.7 	
-28.78 	-7.2 	8.4 	
32.04 	2.8 	-11.7 	
36.38 	-7.5 	-2.7 	
-48.33 	1.3 	10.7 	
-53.76 	1.2 	3 	
37.47 	-7.4 	-10 	
0.54 	3.2 	13.7 	
3.8 	5.7 	8.2 	
-0.54 	0 	0 	
51.58 	-1.5 	5 	
21.18 	-8.1 	0 	
-52.67 	1.7 	-0.2 	
53.76 	-2.8 	4.5 	
-17.92 	-9.9 	12 	
46.15 	0.4 	-2.1 	
41.81 	0.1 	-2.1 	
-43.98 	2.7 	-6.1 	
42.9 	0.1 	3.8 	
2.71 	-2.8 	-9.3 	
45.07 	-7.2 	-14.3 	
42.9 	2.5 	-10.2 	
-49.41 	-3 	10.4 	
9.23 	0.1 	7.7 	
1.63 	1.5 	-0.6 	
-7.06 	-12.9 	0.3 	
48.33 	0.6 	-7.7 	
55.93 	-0.6 	-7.4 	
0.54 	0.3 	5.7 	
-15.75 	13.1 	3.1 	
47.24 	1.6 	-0.4 	
0.54 	-5.2 	-12.3 	
29.86 	-4.2 	-4.6 	
-19 	-10.3 	16.6 	
17.92 	5 	0 	
16.83 	2.7 	-17.5 	
20.09 	8.7 	-3.4 	
-39.64 	4.2 	17 	
-0.54 	-13.9 	13.7 	
-45.07 	5.4 	7.5 	
28.78 	6.3 	-10.2 	
53.76 	1.5 	-11.3 	
-34.21 	12.6 	2.7 	
2.71 	0.1 	-9.6 	
15.75 	6.7 	-0.1 	
-50.5 	1.8 	8.8 	
-47.24 	6.2 	12.9 	
15.75 	9 	-10.6 	
12.49 	5.2 	5.7 	
40.72 	0.8 	-2.7 	
35.29 	4.5 	-6.8 	
37.47 	-10.4 	-12.5 	
30.95 	4.8 	-2.8 	
48.33 	-3 	-13.7 	
-12.49 	0.2 	9.1 	
13.57 	-2.2 	4.2 	
-16.83 	-9.4 	-7.6 	
-3.8 	-6.8 	18 	
-40.72 	-3.2 	3.7 	
47.24 	-0.6 	-12.4 	
-0.54 	0.7 	9.7 	
-0.54 	-0.3 	-2 	
46.15 	-0.3 	-3.1 	
0.54 	1.3 	0.7 	
5.97 	-3.5 	10 	
-57.01 	3.1 	4.5 	
-47.24 	-2.3 	11.7 	
-42.9 	-5.5 	-0.2 	
-12.49 	-10.4 	-6 	
42.9 	-5.9 	-10.5 	
46.15 	-4.7 	-5.3 	
-0.54 	-1.6 	-12.8 	
21.18 	-5.3 	2.9 	
-20.09 	-10.8 	1.2 	
-23.35 	2.2 	-12.3 	
-40.72 	-1.2 	5.6 	
-0.54 	-0.3 	-2.3 	
-28.78 	-8.1 	17.9 	
-41.81 	1.7 	2.7 	
-12.49 	1.8 	10.5 	
-0.54 	0 	0 	
-35.29 	-5.3 	12.2 	
25.52 	5.9 	-14 	
9.23 	7.2 	6 	
45.07 	0.9 	-0.5 	
1.63 	8.7 	3.9 	
-24.43 	-5.7 	-9.1 	
-20.09 	16 	26.8 	
-27.69 	6.2 	-3.3 	
29.86 	4.1 	-6 	
-28.78 	8.9 	24.7 	
46.15 	1.4 	-2.6 	
30.95 	-2.7 	-6.6 	
-37.47 	-12.1 	-0.9 	
-38.55 	-5.4 	11.4 	
3.8 	-11.9 	-4 	
-0.54 	-0.3 	-2.3 	
-42.9 	0.7 	6.3 	
43.98 	1.1 	4.3 	
-26.61 	-13.2 	5.7 	
20.09 	-1.3 	-16.6 	
-17.92 	13.3 	0.3 	
48.33 	-2.2 	-14.2 	
